dataset;level;method;cls;nr_events;metric;score
bpic2011_f2;25;all_embeddings;LSTM;1;-1;auc;0.659800464436226
bpic2011_f2;25;all_embeddings;LSTM;2;-1;auc;0.7503463203463203
bpic2011_f2;25;all_embeddings;LSTM;3;-1;auc;0.7692732799115779
bpic2011_f2;25;all_embeddings;LSTM;4;-1;auc;0.7644194041252864
bpic2011_f2;25;all_embeddings;LSTM;5;-1;auc;0.7651348651348652
bpic2011_f2;25;all_embeddings;LSTM;6;-1;auc;0.7641220568049837
bpic2011_f2;25;all_embeddings;LSTM;7;-1;auc;0.7713546615985641
bpic2011_f2;25;all_embeddings;LSTM;8;-1;auc;0.8290222174519696
bpic2011_f2;25;all_embeddings;LSTM;9;-1;auc;0.8263389503058924
bpic2011_f2;25;all_embeddings;LSTM;10;-1;auc;0.8025115380487282
bpic2011_f2;25;all_embeddings;LSTM;11;-1;auc;0.775478758529606
bpic2011_f2;25;all_embeddings;LSTM;12;-1;auc;0.7606207351970063
bpic2011_f2;25;all_embeddings;LSTM;13;-1;auc;0.7501942501942502
bpic2011_f2;25;all_embeddings;LSTM;14;-1;auc;0.756578947368421
bpic2011_f2;25;all_embeddings;LSTM;15;-1;auc;0.7598117059891107
bpic2011_f2;25;all_embeddings;LSTM;16;-1;auc;0.7663906533575318
bpic2011_f2;25;all_embeddings;LSTM;17;-1;auc;0.7563520871143375
bpic2011_f2;25;all_embeddings;LSTM;18;-1;auc;0.7520984573502723
bpic2011_f2;25;all_embeddings;LSTM;19;-1;auc;0.740045766590389
bpic2011_f2;25;all_embeddings;LSTM;20;-1;auc;0.7381006864988557
bpic2011_f2;25;all_embeddings;LSTM;21;-1;auc;0.7621281464530892
bpic2011_f2;25;all_embeddings;LSTM;22;-1;auc;0.7442289935364728
bpic2011_f2;25;all_embeddings;LSTM;23;-1;auc;0.678612650046168
bpic2011_f2;25;all_embeddings;LSTM;24;-1;auc;0.695906432748538
bpic2011_f2;25;all_embeddings;LSTM;25;-1;auc;0.7228070175438596
bpic2011_f2;25;all_embeddings;LSTM;26;-1;auc;0.71953216374269
bpic2011_f2;25;all_embeddings;LSTM;27;-1;auc;0.6705998033431662
bpic2011_f2;25;all_embeddings;LSTM;28;-1;auc;0.6565600198412699
bpic2011_f2;25;all_embeddings;LSTM;29;-1;auc;0.6079545454545455
bpic2011_f2;25;all_embeddings;LSTM;30;-1;auc;0.6248737373737374
bpic2011_f2;25;all_embeddings;LSTM;31;-1;auc;0.644927536231884
bpic2011_f2;25;all_embeddings;LSTM;32;-1;auc;0.6616078753076292
bpic2011_f2;25;all_embeddings;LSTM;33;-1;auc;0.6855345911949686
bpic2011_f2;25;all_embeddings;LSTM;34;-1;auc;0.6884981684981686
bpic2011_f2;25;all_embeddings;LSTM;35;-1;auc;0.7062736205593348
bpic2011_f2;25;all_embeddings;LSTM;36;-1;auc;0.7194644534920138
bpic2011_f2;25;all_embeddings;LSTM;37;-1;auc;0.7052492134459347
bpic2011_f2;25;all_embeddings;LSTM;38;-1;auc;0.7259116761458682
bpic2011_f2;25;all_embeddings;LSTM;39;-1;auc;0.6747780054644809
bpic2011_f2;25;all_embeddings;LSTM;40;-1;auc;0.6938183060109289
bpic2011_f2;25;all_embeddings;LSTM;-1;auc;0.7239577280047818
