dataset;method;cls;nr_events;metric;score
bpic2015_3_f2;all_agg;XGB;1;-1;auc;0.5715892897322433
bpic2015_3_f2;all_agg;XGB;2;-1;auc;0.6262281557038928
bpic2015_3_f2;all_agg;XGB;3;-1;auc;0.6198904972624315
bpic2015_3_f2;all_agg;XGB;4;-1;auc;0.6048901222530564
bpic2015_3_f2;all_agg;XGB;5;-1;auc;0.5886249428962996
bpic2015_3_f2;all_agg;XGB;6;-1;auc;0.6218625650443832
bpic2015_3_f2;all_agg;XGB;7;-1;auc;0.6467466543608676
bpic2015_3_f2;all_agg;XGB;8;-1;auc;0.6557109557109558
bpic2015_3_f2;all_agg;XGB;9;-1;auc;0.6564102564102564
bpic2015_3_f2;all_agg;XGB;10;-1;auc;0.6574507966260544
bpic2015_3_f2;all_agg;XGB;11;-1;auc;0.6673806124067905
bpic2015_3_f2;all_agg;XGB;12;-1;auc;0.7189433603046168
bpic2015_3_f2;all_agg;XGB;13;-1;auc;0.7398064413771219
bpic2015_3_f2;all_agg;XGB;14;-1;auc;0.8395534290271133
bpic2015_3_f2;all_agg;XGB;15;-1;auc;0.959275292608626
bpic2015_3_f2;all_agg;XGB;16;-1;auc;0.9666506333173
bpic2015_3_f2;all_agg;XGB;17;-1;auc;0.9778739778739779
bpic2015_3_f2;all_agg;XGB;18;-1;auc;0.9801988135321468
bpic2015_3_f2;all_agg;XGB;19;-1;auc;0.9862113195446528
bpic2015_3_f2;all_agg;XGB;20;-1;auc;0.9851691518358185
bpic2015_3_f2;all_agg;XGB;21;-1;auc;0.9847678916827852
bpic2015_3_f2;all_agg;XGB;22;-1;auc;0.9865409413281754
bpic2015_3_f2;all_agg;XGB;23;-1;auc;0.9850915572840706
bpic2015_3_f2;all_agg;XGB;24;-1;auc;0.9835380835380835
bpic2015_3_f2;all_agg;XGB;25;-1;auc;0.981438127090301
bpic2015_3_f2;all_agg;XGB;26;-1;auc;0.982190635451505
bpic2015_3_f2;all_agg;XGB;27;-1;auc;0.9869693148381673
bpic2015_3_f2;all_agg;XGB;28;-1;auc;0.9871072404371585
bpic2015_3_f2;all_agg;XGB;29;-1;auc;0.9875964957932171
bpic2015_3_f2;all_agg;XGB;30;-1;auc;0.9852607709750567
bpic2015_3_f2;all_agg;XGB;31;-1;auc;0.9872840480575287
bpic2015_3_f2;all_agg;XGB;32;-1;auc;0.9875661375661375
bpic2015_3_f2;all_agg;XGB;33;-1;auc;0.9863888888888889
bpic2015_3_f2;all_agg;XGB;34;-1;auc;0.9871296296296297
bpic2015_3_f2;all_agg;XGB;35;-1;auc;0.9875925925925926
bpic2015_3_f2;all_agg;XGB;36;-1;auc;0.9875
bpic2015_3_f2;all_agg;XGB;37;-1;auc;0.9873294346978557
bpic2015_3_f2;all_agg;XGB;38;-1;auc;0.9925963488843813
bpic2015_3_f2;all_agg;XGB;39;-1;auc;0.9920100925147183
bpic2015_3_f2;all_agg;XGB;40;-1;auc;0.9928511354079058
bpic2015_3_f2;all_agg;XGB;-1;auc;0.9048176221654938
