dataset;method;cls;nr_events;metric;score
bpic2011_f4;all_agg;XGB;1;-1;auc;0.7507881335381132
bpic2011_f4;all_agg;XGB;2;-1;auc;0.7484937306627585
bpic2011_f4;all_agg;XGB;3;-1;auc;0.7388729204773103
bpic2011_f4;all_agg;XGB;4;-1;auc;0.7324211670895252
bpic2011_f4;all_agg;XGB;5;-1;auc;0.7232908017520472
bpic2011_f4;all_agg;XGB;6;-1;auc;0.7053345480311772
bpic2011_f4;all_agg;XGB;7;-1;auc;0.7088774167425853
bpic2011_f4;all_agg;XGB;8;-1;auc;0.703844964436656
bpic2011_f4;all_agg;XGB;9;-1;auc;0.6999278424904649
bpic2011_f4;all_agg;XGB;10;-1;auc;0.7005463354293372
bpic2011_f4;all_agg;XGB;11;-1;auc;0.6941912232351071
bpic2011_f4;all_agg;XGB;12;-1;auc;0.6957812168751326
bpic2011_f4;all_agg;XGB;13;-1;auc;0.7017656500802569
bpic2011_f4;all_agg;XGB;14;-1;auc;0.7012108650594524
bpic2011_f4;all_agg;XGB;15;-1;auc;0.7035016908476055
bpic2011_f4;all_agg;XGB;16;-1;auc;0.7050289080397076
bpic2011_f4;all_agg;XGB;17;-1;auc;0.7063379513472237
bpic2011_f4;all_agg;XGB;18;-1;auc;0.7183362753751104
bpic2011_f4;all_agg;XGB;19;-1;auc;0.7170231729055259
bpic2011_f4;all_agg;XGB;20;-1;auc;0.7175802139037434
bpic2011_f4;all_agg;XGB;21;-1;auc;0.7190285204991088
bpic2011_f4;all_agg;XGB;22;-1;auc;0.7156840684068407
bpic2011_f4;all_agg;XGB;23;-1;auc;0.7137713771377138
bpic2011_f4;all_agg;XGB;24;-1;auc;0.7122727272727273
bpic2011_f4;all_agg;XGB;25;-1;auc;0.7094318181818182
bpic2011_f4;all_agg;XGB;26;-1;auc;0.7095454545454546
bpic2011_f4;all_agg;XGB;27;-1;auc;0.7110558712121213
bpic2011_f4;all_agg;XGB;28;-1;auc;0.707177033492823
bpic2011_f4;all_agg;XGB;29;-1;auc;0.7256210604375232
bpic2011_f4;all_agg;XGB;30;-1;auc;0.7367445309603262
bpic2011_f4;all_agg;XGB;31;-1;auc;0.7311209824928142
bpic2011_f4;all_agg;XGB;32;-1;auc;0.7387777176852353
bpic2011_f4;all_agg;XGB;33;-1;auc;0.7340991874474643
bpic2011_f4;all_agg;XGB;34;-1;auc;0.734640522875817
bpic2011_f4;all_agg;XGB;35;-1;auc;0.7388487040385775
bpic2011_f4;all_agg;XGB;36;-1;auc;0.7402882205513786
bpic2011_f4;all_agg;XGB;37;-1;auc;0.746031746031746
bpic2011_f4;all_agg;XGB;38;-1;auc;0.7498323272971159
bpic2011_f4;all_agg;XGB;39;-1;auc;0.7361973775017253
bpic2011_f4;all_agg;XGB;40;-1;auc;0.746894409937888
bpic2011_f4;all_agg;XGB;-1;auc;0.7205410968112052
