dataset;level;method;cls;nr_events;metric;score
bpic2011_f3;75;all_embeddings;LSTM;1;-1;auc;0.7118103448275862
bpic2011_f3;75;all_embeddings;LSTM;2;-1;auc;0.6360076495765413
bpic2011_f3;75;all_embeddings;LSTM;3;-1;auc;0.749693752552062
bpic2011_f3;75;all_embeddings;LSTM;4;-1;auc;0.8305499414955856
bpic2011_f3;75;all_embeddings;LSTM;5;-1;auc;0.8545433996383364
bpic2011_f3;75;all_embeddings;LSTM;6;-1;auc;0.8536467751657626
bpic2011_f3;75;all_embeddings;LSTM;7;-1;auc;0.8493184031158715
bpic2011_f3;75;all_embeddings;LSTM;8;-1;auc;0.8674019300664243
bpic2011_f3;75;all_embeddings;LSTM;9;-1;auc;0.834064419100138
bpic2011_f3;75;all_embeddings;LSTM;10;-1;auc;0.8657726532146884
bpic2011_f3;75;all_embeddings;LSTM;11;-1;auc;0.888888888888889
bpic2011_f3;75;all_embeddings;LSTM;12;-1;auc;0.8869709755785707
bpic2011_f3;75;all_embeddings;LSTM;13;-1;auc;0.8869709755785705
bpic2011_f3;75;all_embeddings;LSTM;14;-1;auc;0.8389664622210623
bpic2011_f3;75;all_embeddings;LSTM;15;-1;auc;0.8530601592065771
bpic2011_f3;75;all_embeddings;LSTM;16;-1;auc;0.830293417922284
bpic2011_f3;75;all_embeddings;LSTM;17;-1;auc;0.8548770816812055
bpic2011_f3;75;all_embeddings;LSTM;18;-1;auc;0.8495902722706846
bpic2011_f3;75;all_embeddings;LSTM;19;-1;auc;0.8379934210526314
bpic2011_f3;75;all_embeddings;LSTM;20;-1;auc;0.8392454954954955
bpic2011_f3;75;all_embeddings;LSTM;21;-1;auc;0.8306159420289856
bpic2011_f3;75;all_embeddings;LSTM;22;-1;auc;0.8464114832535887
bpic2011_f3;75;all_embeddings;LSTM;23;-1;auc;0.822883295194508
bpic2011_f3;75;all_embeddings;LSTM;24;-1;auc;0.8379705400981997
bpic2011_f3;75;all_embeddings;LSTM;25;-1;auc;0.8789893617021277
bpic2011_f3;75;all_embeddings;LSTM;26;-1;auc;0.9103343465045592
bpic2011_f3;75;all_embeddings;LSTM;27;-1;auc;0.8648148148148148
bpic2011_f3;75;all_embeddings;LSTM;28;-1;auc;0.7771535580524345
bpic2011_f3;75;all_embeddings;LSTM;29;-1;auc;0.884090909090909
bpic2011_f3;75;all_embeddings;LSTM;30;-1;auc;0.8636363636363636
bpic2011_f3;75;all_embeddings;LSTM;31;-1;auc;0.7558823529411764
bpic2011_f3;75;all_embeddings;LSTM;-1;auc;0.8313392416947578
