dataset;level;method;cls;nr_events;metric;score
bpic2015_2_f2;50;all_embeddings;LSTM;1;-1;auc;0.7064615384615385
bpic2015_2_f2;50;all_embeddings;LSTM;2;-1;auc;0.7369600000000001
bpic2015_2_f2;50;all_embeddings;LSTM;3;-1;auc;0.752
bpic2015_2_f2;50;all_embeddings;LSTM;4;-1;auc;0.76064
bpic2015_2_f2;50;all_embeddings;LSTM;5;-1;auc;0.76288
bpic2015_2_f2;50;all_embeddings;LSTM;6;-1;auc;0.7641600000000001
bpic2015_2_f2;50;all_embeddings;LSTM;7;-1;auc;0.7664
bpic2015_2_f2;50;all_embeddings;LSTM;8;-1;auc;0.77
bpic2015_2_f2;50;all_embeddings;LSTM;9;-1;auc;0.7696774193548387
bpic2015_2_f2;50;all_embeddings;LSTM;10;-1;auc;0.7693548387096774
bpic2015_2_f2;50;all_embeddings;LSTM;11;-1;auc;0.7690322580645161
bpic2015_2_f2;50;all_embeddings;LSTM;12;-1;auc;0.7747540983606558
bpic2015_2_f2;50;all_embeddings;LSTM;13;-1;auc;0.763305785123967
bpic2015_2_f2;50;all_embeddings;LSTM;14;-1;auc;0.768595041322314
bpic2015_2_f2;50;all_embeddings;LSTM;15;-1;auc;0.7709090909090909
bpic2015_2_f2;50;all_embeddings;LSTM;16;-1;auc;0.7732231404958678
bpic2015_2_f2;50;all_embeddings;LSTM;17;-1;auc;0.7818181818181819
bpic2015_2_f2;50;all_embeddings;LSTM;18;-1;auc;0.7874380165289256
bpic2015_2_f2;50;all_embeddings;LSTM;19;-1;auc;0.8163333333333334
bpic2015_2_f2;50;all_embeddings;LSTM;20;-1;auc;0.8239583333333333
bpic2015_2_f2;50;all_embeddings;LSTM;21;-1;auc;0.8333333333333333
bpic2015_2_f2;50;all_embeddings;LSTM;22;-1;auc;0.8396054073803435
bpic2015_2_f2;50;all_embeddings;LSTM;23;-1;auc;0.8505663134819146
bpic2015_2_f2;50;all_embeddings;LSTM;24;-1;auc;0.855681402995981
bpic2015_2_f2;50;all_embeddings;LSTM;25;-1;auc;0.8600657654366094
bpic2015_2_f2;50;all_embeddings;LSTM;26;-1;auc;0.864815491413957
bpic2015_2_f2;50;all_embeddings;LSTM;27;-1;auc;0.866276945560833
bpic2015_2_f2;50;all_embeddings;LSTM;28;-1;auc;0.8710266715381805
bpic2015_2_f2;50;all_embeddings;LSTM;29;-1;auc;0.8713920350748995
bpic2015_2_f2;50;all_embeddings;LSTM;30;-1;auc;0.865911582024114
bpic2015_2_f2;50;all_embeddings;LSTM;31;-1;auc;0.8684691267811473
bpic2015_2_f2;50;all_embeddings;LSTM;32;-1;auc;0.8658806190125277
bpic2015_2_f2;50;all_embeddings;LSTM;33;-1;auc;0.8614591009579957
bpic2015_2_f2;50;all_embeddings;LSTM;34;-1;auc;0.8662490788504054
bpic2015_2_f2;50;all_embeddings;LSTM;35;-1;auc;0.8728813559322034
bpic2015_2_f2;50;all_embeddings;LSTM;36;-1;auc;0.8773028739867355
bpic2015_2_f2;50;all_embeddings;LSTM;37;-1;auc;0.8817243920412675
bpic2015_2_f2;50;all_embeddings;LSTM;38;-1;auc;0.895725865880619
bpic2015_2_f2;50;all_embeddings;LSTM;39;-1;auc;0.8998459167950692
bpic2015_2_f2;50;all_embeddings;LSTM;40;-1;auc;0.9021571648690292
bpic2015_2_f2;50;all_embeddings;LSTM;-1;auc;0.8039276609959426
