dataset;method;cls;nr_events;metric;score
bpic2015_4_f2;all_agg;XGB;1;-1;auc;0.6442244224422442
bpic2015_4_f2;all_agg;XGB;2;-1;auc;0.6202263083451203
bpic2015_4_f2;all_agg;XGB;3;-1;auc;0.6336633663366337
bpic2015_4_f2;all_agg;XGB;4;-1;auc;0.6371994342291372
bpic2015_4_f2;all_agg;XGB;5;-1;auc;0.6223479490806223
bpic2015_4_f2;all_agg;XGB;6;-1;auc;0.6251768033946251
bpic2015_4_f2;all_agg;XGB;7;-1;auc;0.6258840169731258
bpic2015_4_f2;all_agg;XGB;8;-1;auc;0.6294200848656294
bpic2015_4_f2;all_agg;XGB;9;-1;auc;0.620933521923621
bpic2015_4_f2;all_agg;XGB;10;-1;auc;0.6207142857142857
bpic2015_4_f2;all_agg;XGB;11;-1;auc;0.6228571428571428
bpic2015_4_f2;all_agg;XGB;12;-1;auc;0.6314285714285715
bpic2015_4_f2;all_agg;XGB;13;-1;auc;0.63
bpic2015_4_f2;all_agg;XGB;14;-1;auc;0.6601503759398496
bpic2015_4_f2;all_agg;XGB;15;-1;auc;0.7669172932330828
bpic2015_4_f2;all_agg;XGB;16;-1;auc;0.8275075987841946
bpic2015_4_f2;all_agg;XGB;17;-1;auc;0.8693009118541034
bpic2015_4_f2;all_agg;XGB;18;-1;auc;0.9138198757763976
bpic2015_4_f2;all_agg;XGB;19;-1;auc;0.9177018633540373
bpic2015_4_f2;all_agg;XGB;20;-1;auc;0.9309791332263242
bpic2015_4_f2;all_agg;XGB;21;-1;auc;0.9521008403361344
bpic2015_4_f2;all_agg;XGB;22;-1;auc;0.959552495697074
bpic2015_4_f2;all_agg;XGB;23;-1;auc;0.9585537918871252
bpic2015_4_f2;all_agg;XGB;24;-1;auc;0.9566003616636528
bpic2015_4_f2;all_agg;XGB;25;-1;auc;0.9606227106227108
bpic2015_4_f2;all_agg;XGB;26;-1;auc;0.9666666666666667
bpic2015_4_f2;all_agg;XGB;27;-1;auc;0.9676190476190476
bpic2015_4_f2;all_agg;XGB;28;-1;auc;0.9641025641025641
bpic2015_4_f2;all_agg;XGB;29;-1;auc;0.9680365296803654
bpic2015_4_f2;all_agg;XGB;30;-1;auc;0.9733796296296297
bpic2015_4_f2;all_agg;XGB;31;-1;auc;0.971830985915493
bpic2015_4_f2;all_agg;XGB;32;-1;auc;0.977699530516432
bpic2015_4_f2;all_agg;XGB;33;-1;auc;0.9800469483568075
bpic2015_4_f2;all_agg;XGB;34;-1;auc;0.9820742637644045
bpic2015_4_f2;all_agg;XGB;35;-1;auc;0.9833546734955185
bpic2015_4_f2;all_agg;XGB;36;-1;auc;0.9833546734955186
bpic2015_4_f2;all_agg;XGB;37;-1;auc;0.9923175416133163
bpic2015_4_f2;all_agg;XGB;38;-1;auc;0.9901408450704225
bpic2015_4_f2;all_agg;XGB;39;-1;auc;0.99
bpic2015_4_f2;all_agg;XGB;40;-1;auc;0.99
bpic2015_4_f2;all_agg;XGB;-1;auc;0.8379917904284964
