dataset;level;method;cls;nr_events;metric;score
bpic2015_5_f2;50;all_embeddings;LSTM;1;-1;auc;0.5227272727272727
bpic2015_5_f2;50;all_embeddings;LSTM;2;-1;auc;0.5346736596736597
bpic2015_5_f2;50;all_embeddings;LSTM;3;-1;auc;0.5255244755244755
bpic2015_5_f2;50;all_embeddings;LSTM;4;-1;auc;0.5315850815850816
bpic2015_5_f2;50;all_embeddings;LSTM;5;-1;auc;0.5165501165501165
bpic2015_5_f2;50;all_embeddings;LSTM;6;-1;auc;0.5107226107226107
bpic2015_5_f2;50;all_embeddings;LSTM;7;-1;auc;0.4717948717948718
bpic2015_5_f2;50;all_embeddings;LSTM;8;-1;auc;0.4683566433566434
bpic2015_5_f2;50;all_embeddings;LSTM;9;-1;auc;0.47855477855477857
bpic2015_5_f2;50;all_embeddings;LSTM;10;-1;auc;0.5005865102639296
bpic2015_5_f2;50;all_embeddings;LSTM;11;-1;auc;0.5210153482880755
bpic2015_5_f2;50;all_embeddings;LSTM;12;-1;auc;0.5367795603089721
bpic2015_5_f2;50;all_embeddings;LSTM;13;-1;auc;0.5454545454545454
bpic2015_5_f2;50;all_embeddings;LSTM;14;-1;auc;0.5562913907284768
bpic2015_5_f2;50;all_embeddings;LSTM;15;-1;auc;0.5778255528255528
bpic2015_5_f2;50;all_embeddings;LSTM;16;-1;auc;0.6154791154791154
bpic2015_5_f2;50;all_embeddings;LSTM;17;-1;auc;0.6461348175633891
bpic2015_5_f2;50;all_embeddings;LSTM;18;-1;auc;0.6861768368617683
bpic2015_5_f2;50;all_embeddings;LSTM;19;-1;auc;0.7125778331257784
bpic2015_5_f2;50;all_embeddings;LSTM;20;-1;auc;0.7411912225705329
bpic2015_5_f2;50;all_embeddings;LSTM;21;-1;auc;0.7632522407170295
bpic2015_5_f2;50;all_embeddings;LSTM;22;-1;auc;0.77678916827853
bpic2015_5_f2;50;all_embeddings;LSTM;23;-1;auc;0.7961315280464216
bpic2015_5_f2;50;all_embeddings;LSTM;24;-1;auc;0.7920051579626047
bpic2015_5_f2;50;all_embeddings;LSTM;25;-1;auc;0.8102502341763682
bpic2015_5_f2;50;all_embeddings;LSTM;26;-1;auc;0.8188143985012712
bpic2015_5_f2;50;all_embeddings;LSTM;27;-1;auc;0.8233153638814017
bpic2015_5_f2;50;all_embeddings;LSTM;28;-1;auc;0.829177897574124
bpic2015_5_f2;50;all_embeddings;LSTM;29;-1;auc;0.8306603773584905
bpic2015_5_f2;50;all_embeddings;LSTM;30;-1;auc;0.8431940700808624
bpic2015_5_f2;50;all_embeddings;LSTM;31;-1;auc;0.8481132075471698
bpic2015_5_f2;50;all_embeddings;LSTM;32;-1;auc;0.838604588027691
bpic2015_5_f2;50;all_embeddings;LSTM;33;-1;auc;0.846613275417402
bpic2015_5_f2;50;all_embeddings;LSTM;34;-1;auc;0.8510927107370707
bpic2015_5_f2;50;all_embeddings;LSTM;35;-1;auc;0.8695893451720311
bpic2015_5_f2;50;all_embeddings;LSTM;36;-1;auc;0.86334628190899
bpic2015_5_f2;50;all_embeddings;LSTM;37;-1;auc;0.8936408106219428
bpic2015_5_f2;50;all_embeddings;LSTM;38;-1;auc;0.9193570929419986
bpic2015_5_f2;50;all_embeddings;LSTM;39;-1;auc;0.940461215932914
bpic2015_5_f2;50;all_embeddings;LSTM;40;-1;auc;0.9315323041738136
bpic2015_5_f2;50;all_embeddings;LSTM;-1;auc;0.6931971006490686
