dataset;level;method;cls;nr_events;metric;score
bpic2011_f1;50;all_embeddings;LSTM;1;-1;auc;0.5419011641353789
bpic2011_f1;50;all_embeddings;LSTM;2;-1;auc;0.5428480912402978
bpic2011_f1;50;all_embeddings;LSTM;3;-1;auc;0.6001886307125096
bpic2011_f1;50;all_embeddings;LSTM;4;-1;auc;0.6236520488856938
bpic2011_f1;50;all_embeddings;LSTM;5;-1;auc;0.6332729353423613
bpic2011_f1;50;all_embeddings;LSTM;6;-1;auc;0.6832588378707842
bpic2011_f1;50;all_embeddings;LSTM;7;-1;auc;0.7271328958162429
bpic2011_f1;50;all_embeddings;LSTM;8;-1;auc;0.799685534591195
bpic2011_f1;50;all_embeddings;LSTM;9;-1;auc;0.7469841269841269
bpic2011_f1;50;all_embeddings;LSTM;10;-1;auc;0.6177777777777778
bpic2011_f1;50;all_embeddings;LSTM;11;-1;auc;0.6648268398268398
bpic2011_f1;50;all_embeddings;LSTM;12;-1;auc;0.7325757575757575
bpic2011_f1;50;all_embeddings;LSTM;13;-1;auc;0.7747126436781608
bpic2011_f1;50;all_embeddings;LSTM;14;-1;auc;0.7874861572535992
bpic2011_f1;50;all_embeddings;LSTM;15;-1;auc;0.7580287929125138
bpic2011_f1;50;all_embeddings;LSTM;16;-1;auc;0.7052602436323366
bpic2011_f1;50;all_embeddings;LSTM;17;-1;auc;0.6788908765652952
bpic2011_f1;50;all_embeddings;LSTM;18;-1;auc;0.747093023255814
bpic2011_f1;50;all_embeddings;LSTM;19;-1;auc;0.7266968325791856
bpic2011_f1;50;all_embeddings;LSTM;20;-1;auc;0.7252595155709343
bpic2011_f1;50;all_embeddings;LSTM;21;-1;auc;0.7609411764705883
bpic2011_f1;50;all_embeddings;LSTM;22;-1;auc;0.7419799498746866
bpic2011_f1;50;all_embeddings;LSTM;23;-1;auc;0.7175207039337473
bpic2011_f1;50;all_embeddings;LSTM;24;-1;auc;0.710741037988229
bpic2011_f1;50;all_embeddings;LSTM;25;-1;auc;0.7010395707578807
bpic2011_f1;50;all_embeddings;LSTM;26;-1;auc;0.6911904761904762
bpic2011_f1;50;all_embeddings;LSTM;27;-1;auc;0.6323223930203573
bpic2011_f1;50;all_embeddings;LSTM;28;-1;auc;0.5985772357723577
bpic2011_f1;50;all_embeddings;LSTM;29;-1;auc;0.6126543209876543
bpic2011_f1;50;all_embeddings;LSTM;30;-1;auc;0.6621773288439955
bpic2011_f1;50;all_embeddings;LSTM;31;-1;auc;0.6512499999999999
bpic2011_f1;50;all_embeddings;LSTM;32;-1;auc;0.7272727272727273
bpic2011_f1;50;all_embeddings;LSTM;33;-1;auc;0.7287157287157288
bpic2011_f1;50;all_embeddings;LSTM;34;-1;auc;0.7462406015037595
bpic2011_f1;50;all_embeddings;LSTM;35;-1;auc;0.7
bpic2011_f1;50;all_embeddings;LSTM;36;-1;auc;0.7297297297297298
bpic2011_f1;50;all_embeddings;LSTM;-1;auc;0.5655039395129743
