dataset;level;method;cls;nr_events;metric;score
bpic2015_1_f2;50;all_embeddings;LSTM;1;-1;auc;0.7005876068376069
bpic2015_1_f2;50;all_embeddings;LSTM;2;-1;auc;0.6483707264957265
bpic2015_1_f2;50;all_embeddings;LSTM;3;-1;auc;0.6296741452991452
bpic2015_1_f2;50;all_embeddings;LSTM;4;-1;auc;0.6319287330316742
bpic2015_1_f2;50;all_embeddings;LSTM;5;-1;auc;0.6312217194570136
bpic2015_1_f2;50;all_embeddings;LSTM;6;-1;auc;0.6826923076923077
bpic2015_1_f2;50;all_embeddings;LSTM;7;-1;auc;0.6843891402714932
bpic2015_1_f2;50;all_embeddings;LSTM;8;-1;auc;0.647341628959276
bpic2015_1_f2;50;all_embeddings;LSTM;9;-1;auc;0.6312217194570136
bpic2015_1_f2;50;all_embeddings;LSTM;10;-1;auc;0.6514848657909766
bpic2015_1_f2;50;all_embeddings;LSTM;11;-1;auc;0.6528258362168397
bpic2015_1_f2;50;all_embeddings;LSTM;12;-1;auc;0.683235294117647
bpic2015_1_f2;50;all_embeddings;LSTM;13;-1;auc;0.686423054070113
bpic2015_1_f2;50;all_embeddings;LSTM;14;-1;auc;0.73279098873592
bpic2015_1_f2;50;all_embeddings;LSTM;15;-1;auc;0.8468670076726342
bpic2015_1_f2;50;all_embeddings;LSTM;16;-1;auc;0.8309631544925663
bpic2015_1_f2;50;all_embeddings;LSTM;17;-1;auc;0.8041370394311571
bpic2015_1_f2;50;all_embeddings;LSTM;18;-1;auc;0.7610707204230007
bpic2015_1_f2;50;all_embeddings;LSTM;19;-1;auc;0.7256016042780749
bpic2015_1_f2;50;all_embeddings;LSTM;20;-1;auc;0.8035527690700106
bpic2015_1_f2;50;all_embeddings;LSTM;21;-1;auc;0.8711250435388367
bpic2015_1_f2;50;all_embeddings;LSTM;22;-1;auc;0.8561476837338906
bpic2015_1_f2;50;all_embeddings;LSTM;23;-1;auc;0.8028561476837338
bpic2015_1_f2;50;all_embeddings;LSTM;24;-1;auc;0.7297109021246952
bpic2015_1_f2;50;all_embeddings;LSTM;25;-1;auc;0.7387669801462905
bpic2015_1_f2;50;all_embeddings;LSTM;26;-1;auc;0.7185683139534883
bpic2015_1_f2;50;all_embeddings;LSTM;27;-1;auc;0.6832217261904762
bpic2015_1_f2;50;all_embeddings;LSTM;28;-1;auc;0.6538027108433735
bpic2015_1_f2;50;all_embeddings;LSTM;29;-1;auc;0.6265060240963856
bpic2015_1_f2;50;all_embeddings;LSTM;30;-1;auc;0.6637801204819276
bpic2015_1_f2;50;all_embeddings;LSTM;31;-1;auc;0.6189024390243903
bpic2015_1_f2;50;all_embeddings;LSTM;32;-1;auc;0.5703125000000001
bpic2015_1_f2;50;all_embeddings;LSTM;33;-1;auc;0.6392961876832844
bpic2015_1_f2;50;all_embeddings;LSTM;34;-1;auc;0.6011131725417439
bpic2015_1_f2;50;all_embeddings;LSTM;35;-1;auc;0.5696881091617934
bpic2015_1_f2;50;all_embeddings;LSTM;36;-1;auc;0.6371457489878544
bpic2015_1_f2;50;all_embeddings;LSTM;37;-1;auc;0.7063157894736842
bpic2015_1_f2;50;all_embeddings;LSTM;38;-1;auc;0.7283333333333334
bpic2015_1_f2;50;all_embeddings;LSTM;39;-1;auc;0.7646376811594202
bpic2015_1_f2;50;all_embeddings;LSTM;40;-1;auc;0.6011594202898551
bpic2015_1_f2;50;all_embeddings;LSTM;-1;auc;0.6630836479237036
