dataset;method;cls;nr_events;metric;score
bpic2011_f4;all_agg;XGB;1;-1;auc;0.8850537547490098
bpic2011_f4;all_agg;XGB;2;-1;auc;0.8881289692232536
bpic2011_f4;all_agg;XGB;3;-1;auc;0.8798885114537061
bpic2011_f4;all_agg;XGB;4;-1;auc;0.8802102210945996
bpic2011_f4;all_agg;XGB;5;-1;auc;0.8749761950104742
bpic2011_f4;all_agg;XGB;6;-1;auc;0.8660795627087762
bpic2011_f4;all_agg;XGB;7;-1;auc;0.8653709889664946
bpic2011_f4;all_agg;XGB;8;-1;auc;0.8646531285434491
bpic2011_f4;all_agg;XGB;9;-1;auc;0.8642407999175342
bpic2011_f4;all_agg;XGB;10;-1;auc;0.8637253891351406
bpic2011_f4;all_agg;XGB;11;-1;auc;0.8618825524697901
bpic2011_f4;all_agg;XGB;12;-1;auc;0.8611405554377782
bpic2011_f4;all_agg;XGB;13;-1;auc;0.8607811663991438
bpic2011_f4;all_agg;XGB;14;-1;auc;0.8602596269226573
bpic2011_f4;all_agg;XGB;15;-1;auc;0.8591687574997273
bpic2011_f4;all_agg;XGB;16;-1;auc;0.8593869313843133
bpic2011_f4;all_agg;XGB;17;-1;auc;0.8594960183266063
bpic2011_f4;all_agg;XGB;18;-1;auc;0.8580097087378641
bpic2011_f4;all_agg;XGB;19;-1;auc;0.856951871657754
bpic2011_f4;all_agg;XGB;20;-1;auc;0.856729055258467
bpic2011_f4;all_agg;XGB;21;-1;auc;0.8573975044563279
bpic2011_f4;all_agg;XGB;22;-1;auc;0.8562106210621062
bpic2011_f4;all_agg;XGB;23;-1;auc;0.8566606660666066
bpic2011_f4;all_agg;XGB;24;-1;auc;0.855909090909091
bpic2011_f4;all_agg;XGB;25;-1;auc;0.85625
bpic2011_f4;all_agg;XGB;26;-1;auc;0.8563636363636363
bpic2011_f4;all_agg;XGB;27;-1;auc;0.8641098484848484
bpic2011_f4;all_agg;XGB;28;-1;auc;0.8666267942583732
bpic2011_f4;all_agg;XGB;29;-1;auc;0.8703497713508836
bpic2011_f4;all_agg;XGB;30;-1;auc;0.8723272772216042
bpic2011_f4;all_agg;XGB;31;-1;auc;0.8683041546903579
bpic2011_f4;all_agg;XGB;32;-1;auc;0.876419686316928
bpic2011_f4;all_agg;XGB;33;-1;auc;0.8733538806388343
bpic2011_f4;all_agg;XGB;34;-1;auc;0.8807552650689906
bpic2011_f4;all_agg;XGB;35;-1;auc;0.8887884267631103
bpic2011_f4;all_agg;XGB;36;-1;auc;0.8922305764411027
bpic2011_f4;all_agg;XGB;37;-1;auc;0.8943452380952381
bpic2011_f4;all_agg;XGB;38;-1;auc;0.8908450704225351
bpic2011_f4;all_agg;XGB;39;-1;auc;0.8859558316080055
bpic2011_f4;all_agg;XGB;40;-1;auc;0.8902691511387164
bpic2011_f4;all_agg;XGB;-1;auc;0.8683820540753204
