dataset;level;method;cls;nr_events;metric;score
bpic2011_f1;75;all_embeddings;LSTM;1;-1;auc;0.8468892144013568
bpic2011_f1;75;all_embeddings;LSTM;2;-1;auc;0.8422303183906227
bpic2011_f1;75;all_embeddings;LSTM;3;-1;auc;0.8366629512132384
bpic2011_f1;75;all_embeddings;LSTM;4;-1;auc;0.8222501797268151
bpic2011_f1;75;all_embeddings;LSTM;5;-1;auc;0.8168987221056646
bpic2011_f1;75;all_embeddings;LSTM;6;-1;auc;0.8215156440471353
bpic2011_f1;75;all_embeddings;LSTM;7;-1;auc;0.8124487284659556
bpic2011_f1;75;all_embeddings;LSTM;8;-1;auc;0.8228511530398323
bpic2011_f1;75;all_embeddings;LSTM;9;-1;auc;0.8135449735449735
bpic2011_f1;75;all_embeddings;LSTM;10;-1;auc;0.8102645502645502
bpic2011_f1;75;all_embeddings;LSTM;11;-1;auc;0.8107142857142857
bpic2011_f1;75;all_embeddings;LSTM;12;-1;auc;0.8061688311688311
bpic2011_f1;75;all_embeddings;LSTM;13;-1;auc;0.8006568144499179
bpic2011_f1;75;all_embeddings;LSTM;14;-1;auc;0.789811738648948
bpic2011_f1;75;all_embeddings;LSTM;15;-1;auc;0.7878183831672203
bpic2011_f1;75;all_embeddings;LSTM;16;-1;auc;0.7861572535991141
bpic2011_f1;75;all_embeddings;LSTM;17;-1;auc;0.7871198568872987
bpic2011_f1;75;all_embeddings;LSTM;18;-1;auc;0.7860576923076923
bpic2011_f1;75;all_embeddings;LSTM;19;-1;auc;0.7873868778280543
bpic2011_f1;75;all_embeddings;LSTM;20;-1;auc;0.7899653979238753
bpic2011_f1;75;all_embeddings;LSTM;21;-1;auc;0.7935294117647059
bpic2011_f1;75;all_embeddings;LSTM;22;-1;auc;0.7860902255639098
bpic2011_f1;75;all_embeddings;LSTM;23;-1;auc;0.7718685300207039
bpic2011_f1;75;all_embeddings;LSTM;24;-1;auc;0.7624398073836276
bpic2011_f1;75;all_embeddings;LSTM;25;-1;auc;0.7530181086519115
bpic2011_f1;75;all_embeddings;LSTM;26;-1;auc;0.7471428571428572
bpic2011_f1;75;all_embeddings;LSTM;27;-1;auc;0.6688824262567511
bpic2011_f1;75;all_embeddings;LSTM;28;-1;auc;0.6189024390243902
bpic2011_f1;75;all_embeddings;LSTM;29;-1;auc;0.6273148148148148
bpic2011_f1;75;all_embeddings;LSTM;30;-1;auc;0.5129068462401796
bpic2011_f1;75;all_embeddings;LSTM;31;-1;auc;0.51375
bpic2011_f1;75;all_embeddings;LSTM;32;-1;auc;0.45454545454545453
bpic2011_f1;75;all_embeddings;LSTM;33;-1;auc;0.4372294372294372
bpic2011_f1;75;all_embeddings;LSTM;34;-1;auc;0.40037593984962405
bpic2011_f1;75;all_embeddings;LSTM;35;-1;auc;0.46842105263157896
bpic2011_f1;75;all_embeddings;LSTM;36;-1;auc;0.4891891891891892
bpic2011_f1;75;all_embeddings;LSTM;-1;auc;0.7279518057202592
