dataset;level;method;cls;nr_events;metric;score
bpic2011_f1;25;all_embeddings;LSTM;1;-1;auc;0.5868475830699252
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;2;-1;auc;0.6252970061777285
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;3;-1;auc;0.6283974963559975
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;4;-1;auc;0.6329978432782172
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;5;-1;auc;0.6313179477398436
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;6;-1;auc;0.6065623730190979
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;7;-1;auc;0.6072600492206727
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;8;-1;auc;0.5645702306079665
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;9;-1;auc;0.578941798941799
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;10;-1;auc;0.5844444444444444
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;11;-1;auc;0.5869047619047619
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;12;-1;auc;0.5925324675324675
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;13;-1;auc;0.591023535851122
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;14;-1;auc;0.6032115171650055
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;15;-1;auc;0.6008859357696567
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;16;-1;auc;0.6029900332225914
bpic2011_f1;25;all_embeddings;LSTM;-1;auc;0.5146274332388321
bpic2011_f1;25;all_embeddings;LSTM;17;-1;auc;0.5980545617173523
