dataset;method;cls;nr_events;metric;score
bpic2015_1_f2;all_agg;XGB;1;-1;auc;0.6052350427350427
bpic2015_1_f2;all_agg;XGB;2;-1;auc;0.6124465811965811
bpic2015_1_f2;all_agg;XGB;3;-1;auc;0.6001602564102565
bpic2015_1_f2;all_agg;XGB;4;-1;auc;0.6046380090497738
bpic2015_1_f2;all_agg;XGB;5;-1;auc;0.6069004524886878
bpic2015_1_f2;all_agg;XGB;6;-1;auc;0.6184954751131221
bpic2015_1_f2;all_agg;XGB;7;-1;auc;0.6077488687782805
bpic2015_1_f2;all_agg;XGB;8;-1;auc;0.6063348416289593
bpic2015_1_f2;all_agg;XGB;9;-1;auc;0.5978506787330317
bpic2015_1_f2;all_agg;XGB;10;-1;auc;0.6116504854368932
bpic2015_1_f2;all_agg;XGB;11;-1;auc;0.5839100346020761
bpic2015_1_f2;all_agg;XGB;12;-1;auc;0.5964705882352941
bpic2015_1_f2;all_agg;XGB;13;-1;auc;0.5965537730243613
bpic2015_1_f2;all_agg;XGB;14;-1;auc;0.6351689612015019
bpic2015_1_f2;all_agg;XGB;15;-1;auc;0.6851023017902813
bpic2015_1_f2;all_agg;XGB;16;-1;auc;0.7740788623141565
bpic2015_1_f2;all_agg;XGB;17;-1;auc;0.8287007110536523
bpic2015_1_f2;all_agg;XGB;18;-1;auc;0.799074686054197
bpic2015_1_f2;all_agg;XGB;19;-1;auc;0.8435828877005347
bpic2015_1_f2;all_agg;XGB;20;-1;auc;0.8380355276907001
bpic2015_1_f2;all_agg;XGB;21;-1;auc;0.8307210031347962
bpic2015_1_f2;all_agg;XGB;22;-1;auc;0.8108672936259144
bpic2015_1_f2;all_agg;XGB;23;-1;auc;0.8404737025426681
bpic2015_1_f2;all_agg;XGB;24;-1;auc;0.851619644723093
bpic2015_1_f2;all_agg;XGB;25;-1;auc;0.8756530825496343
bpic2015_1_f2;all_agg;XGB;26;-1;auc;0.8895348837209301
bpic2015_1_f2;all_agg;XGB;27;-1;auc;0.9274553571428572
bpic2015_1_f2;all_agg;XGB;28;-1;auc;0.9280873493975903
bpic2015_1_f2;all_agg;XGB;29;-1;auc;0.9167921686746988
bpic2015_1_f2;all_agg;XGB;30;-1;auc;0.9269578313253012
bpic2015_1_f2;all_agg;XGB;31;-1;auc;0.9363567073170731
bpic2015_1_f2;all_agg;XGB;32;-1;auc;0.94140625
bpic2015_1_f2;all_agg;XGB;33;-1;auc;0.9689987431922916
bpic2015_1_f2;all_agg;XGB;34;-1;auc;0.9661410018552876
bpic2015_1_f2;all_agg;XGB;35;-1;auc;0.9780701754385964
bpic2015_1_f2;all_agg;XGB;36;-1;auc;0.9772267206477733
bpic2015_1_f2;all_agg;XGB;37;-1;auc;0.9747368421052632
bpic2015_1_f2;all_agg;XGB;38;-1;auc;0.9727777777777777
bpic2015_1_f2;all_agg;XGB;39;-1;auc;0.9739130434782609
bpic2015_1_f2;all_agg;XGB;40;-1;auc;0.9721739130434783
bpic2015_1_f2;all_agg;XGB;-1;auc;0.7618649156007508
