dataset;method;cls;nr_events;metric;score
bpic2015_1_f2;all_agg;XGB;1;-1;auc;0.6521100427350427
bpic2015_1_f2;all_agg;XGB;2;-1;auc;0.657051282051282
bpic2015_1_f2;all_agg;XGB;3;-1;auc;0.6655982905982906
bpic2015_1_f2;all_agg;XGB;4;-1;auc;0.6702488687782805
bpic2015_1_f2;all_agg;XGB;5;-1;auc;0.6821266968325792
bpic2015_1_f2;all_agg;XGB;6;-1;auc;0.6832579185520362
bpic2015_1_f2;all_agg;XGB;7;-1;auc;0.682975113122172
bpic2015_1_f2;all_agg;XGB;8;-1;auc;0.6790158371040723
bpic2015_1_f2;all_agg;XGB;9;-1;auc;0.6778846153846154
bpic2015_1_f2;all_agg;XGB;10;-1;auc;0.6893203883495147
bpic2015_1_f2;all_agg;XGB;11;-1;auc;0.6626297577854671
bpic2015_1_f2;all_agg;XGB;12;-1;auc;0.6738235294117648
bpic2015_1_f2;all_agg;XGB;13;-1;auc;0.7005347593582888
bpic2015_1_f2;all_agg;XGB;14;-1;auc;0.7446808510638298
bpic2015_1_f2;all_agg;XGB;15;-1;auc;0.8289641943734015
bpic2015_1_f2;all_agg;XGB;16;-1;auc;0.8752424046541694
bpic2015_1_f2;all_agg;XGB;17;-1;auc;0.901098901098901
bpic2015_1_f2;all_agg;XGB;18;-1;auc;0.9424983476536682
bpic2015_1_f2;all_agg;XGB;19;-1;auc;0.9568850267379679
bpic2015_1_f2;all_agg;XGB;20;-1;auc;0.9627307558342042
bpic2015_1_f2;all_agg;XGB;21;-1;auc;0.9696969696969697
bpic2015_1_f2;all_agg;XGB;22;-1;auc;0.9731800766283525
bpic2015_1_f2;all_agg;XGB;23;-1;auc;0.9797979797979798
bpic2015_1_f2;all_agg;XGB;24;-1;auc;0.9822361546499476
bpic2015_1_f2;all_agg;XGB;25;-1;auc;0.9850226401950539
bpic2015_1_f2;all_agg;XGB;26;-1;auc;0.9909156976744187
bpic2015_1_f2;all_agg;XGB;27;-1;auc;0.9921875
bpic2015_1_f2;all_agg;XGB;28;-1;auc;0.9924698795180723
bpic2015_1_f2;all_agg;XGB;29;-1;auc;0.9935993975903614
bpic2015_1_f2;all_agg;XGB;30;-1;auc;0.9947289156626506
bpic2015_1_f2;all_agg;XGB;31;-1;auc;0.9961890243902439
bpic2015_1_f2;all_agg;XGB;32;-1;auc;0.996875
bpic2015_1_f2;all_agg;XGB;33;-1;auc;0.9995810640971932
bpic2015_1_f2;all_agg;XGB;34;-1;auc;0.9995361781076066
bpic2015_1_f2;all_agg;XGB;35;-1;auc;1.0
bpic2015_1_f2;all_agg;XGB;36;-1;auc;1.0
bpic2015_1_f2;all_agg;XGB;37;-1;auc;1.0
bpic2015_1_f2;all_agg;XGB;38;-1;auc;0.9988888888888888
bpic2015_1_f2;all_agg;XGB;39;-1;auc;0.998840579710145
bpic2015_1_f2;all_agg;XGB;40;-1;auc;0.9982608695652174
bpic2015_1_f2;all_agg;XGB;-1;auc;0.9164850782648726
