dataset;method;cls;nr_events;metric;score
bpic2011_f2;all_agg;XGB;1;-1;auc;0.6877096413520256
bpic2011_f2;all_agg;XGB;2;-1;auc;0.7361904761904762
bpic2011_f2;all_agg;XGB;3;-1;auc;0.7396149949341438
bpic2011_f2;all_agg;XGB;4;-1;auc;0.7355805958747135
bpic2011_f2;all_agg;XGB;5;-1;auc;0.7247252747252748
bpic2011_f2;all_agg;XGB;6;-1;auc;0.7138105796642382
bpic2011_f2;all_agg;XGB;7;-1;auc;0.7084257206208426
bpic2011_f2;all_agg;XGB;8;-1;auc;0.773746914242782
bpic2011_f2;all_agg;XGB;9;-1;auc;0.8145325748631533
bpic2011_f2;all_agg;XGB;10;-1;auc;0.8267682730492648
bpic2011_f2;all_agg;XGB;11;-1;auc;0.8488883997358572
bpic2011_f2;all_agg;XGB;12;-1;auc;0.8469073299581775
bpic2011_f2;all_agg;XGB;13;-1;auc;0.8514818514818515
bpic2011_f2;all_agg;XGB;14;-1;auc;0.86002722323049
bpic2011_f2;all_agg;XGB;15;-1;auc;0.8568511796733213
bpic2011_f2;all_agg;XGB;16;-1;auc;0.8642241379310345
bpic2011_f2;all_agg;XGB;17;-1;auc;0.8666061705989111
bpic2011_f2;all_agg;XGB;18;-1;auc;0.8706896551724137
bpic2011_f2;all_agg;XGB;19;-1;auc;0.8707093821510297
bpic2011_f2;all_agg;XGB;20;-1;auc;0.8700228832951945
bpic2011_f2;all_agg;XGB;21;-1;auc;0.8721967963386728
bpic2011_f2;all_agg;XGB;22;-1;auc;0.8681902123730378
bpic2011_f2;all_agg;XGB;23;-1;auc;0.8700369344413665
bpic2011_f2;all_agg;XGB;24;-1;auc;0.8674853801169591
bpic2011_f2;all_agg;XGB;25;-1;auc;0.8665497076023391
bpic2011_f2;all_agg;XGB;26;-1;auc;0.8660818713450292
bpic2011_f2;all_agg;XGB;27;-1;auc;0.8614798426745329
bpic2011_f2;all_agg;XGB;28;-1;auc;0.8546626984126984
bpic2011_f2;all_agg;XGB;29;-1;auc;0.8583333333333333
bpic2011_f2;all_agg;XGB;30;-1;auc;0.8573232323232324
bpic2011_f2;all_agg;XGB;31;-1;auc;0.8545406195984576
bpic2011_f2;all_agg;XGB;32;-1;auc;0.8541153951326222
bpic2011_f2;all_agg;XGB;33;-1;auc;0.8457690108633504
bpic2011_f2;all_agg;XGB;34;-1;auc;0.8372161172161172
bpic2011_f2;all_agg;XGB;35;-1;auc;0.8654572940287224
bpic2011_f2;all_agg;XGB;36;-1;auc;0.868462261196367
bpic2011_f2;all_agg;XGB;37;-1;auc;0.8728266269249876
bpic2011_f2;all_agg;XGB;38;-1;auc;0.8708598193375711
bpic2011_f2;all_agg;XGB;39;-1;auc;0.8780737704918032
bpic2011_f2;all_agg;XGB;40;-1;auc;0.877561475409836
bpic2011_f2;all_agg;XGB;-1;auc;0.8276782304679995
