dataset;level;method;cls;nr_events;metric;score
bpic2015_5_f2;75;all_embeddings;LSTM;1;-1;auc;0.48146853146853147
bpic2015_5_f2;75;all_embeddings;LSTM;2;-1;auc;0.5102564102564102
bpic2015_5_f2;75;all_embeddings;LSTM;3;-1;auc;0.5186480186480187
bpic2015_5_f2;75;all_embeddings;LSTM;4;-1;auc;0.4927156177156178
bpic2015_5_f2;75;all_embeddings;LSTM;5;-1;auc;0.5101398601398601
bpic2015_5_f2;75;all_embeddings;LSTM;6;-1;auc;0.4472027972027972
bpic2015_5_f2;75;all_embeddings;LSTM;7;-1;auc;0.4881701631701632
bpic2015_5_f2;75;all_embeddings;LSTM;8;-1;auc;0.5361305361305362
bpic2015_5_f2;75;all_embeddings;LSTM;9;-1;auc;0.48531468531468536
bpic2015_5_f2;75;all_embeddings;LSTM;10;-1;auc;0.4529032258064516
bpic2015_5_f2;75;all_embeddings;LSTM;11;-1;auc;0.4957497048406139
bpic2015_5_f2;75;all_embeddings;LSTM;12;-1;auc;0.4578728461081402
bpic2015_5_f2;75;all_embeddings;LSTM;13;-1;auc;0.4786875376279349
bpic2015_5_f2;75;all_embeddings;LSTM;14;-1;auc;0.524864539434076
bpic2015_5_f2;75;all_embeddings;LSTM;15;-1;auc;0.5208845208845209
bpic2015_5_f2;75;all_embeddings;LSTM;16;-1;auc;0.6339066339066339
bpic2015_5_f2;75;all_embeddings;LSTM;17;-1;auc;0.6787878787878787
bpic2015_5_f2;75;all_embeddings;LSTM;18;-1;auc;0.7014321295143213
bpic2015_5_f2;75;all_embeddings;LSTM;19;-1;auc;0.6932129514321296
bpic2015_5_f2;75;all_embeddings;LSTM;20;-1;auc;0.7069592476489027
bpic2015_5_f2;75;all_embeddings;LSTM;21;-1;auc;0.6612035851472471
bpic2015_5_f2;75;all_embeddings;LSTM;22;-1;auc;0.661057382333978
bpic2015_5_f2;75;all_embeddings;LSTM;23;-1;auc;0.6717601547388781
bpic2015_5_f2;75;all_embeddings;LSTM;24;-1;auc;0.660863958736299
bpic2015_5_f2;75;all_embeddings;LSTM;25;-1;auc;0.599290780141844
bpic2015_5_f2;75;all_embeddings;LSTM;26;-1;auc;0.5772782015254918
bpic2015_5_f2;75;all_embeddings;LSTM;27;-1;auc;0.5442048517520215
bpic2015_5_f2;75;all_embeddings;LSTM;28;-1;auc;0.5907008086253369
bpic2015_5_f2;75;all_embeddings;LSTM;29;-1;auc;0.5824797843665768
bpic2015_5_f2;75;all_embeddings;LSTM;30;-1;auc;0.6273584905660377
bpic2015_5_f2;75;all_embeddings;LSTM;31;-1;auc;0.659433962264151
bpic2015_5_f2;75;all_embeddings;LSTM;32;-1;auc;0.6539975566716438
bpic2015_5_f2;75;all_embeddings;LSTM;33;-1;auc;0.626442242432469
bpic2015_5_f2;75;all_embeddings;LSTM;34;-1;auc;0.5893850956970274
bpic2015_5_f2;75;all_embeddings;LSTM;35;-1;auc;0.5760266370699223
bpic2015_5_f2;75;all_embeddings;LSTM;36;-1;auc;0.5527192008879023
bpic2015_5_f2;75;all_embeddings;LSTM;37;-1;auc;0.5515024458420685
bpic2015_5_f2;75;all_embeddings;LSTM;38;-1;auc;0.5207547169811321
bpic2015_5_f2;75;all_embeddings;LSTM;39;-1;auc;0.5180992313067785
bpic2015_5_f2;75;all_embeddings;LSTM;40;-1;auc;0.5275871926815323
bpic2015_5_f2;75;all_embeddings;LSTM;-1;auc;0.5766540823370783
