dataset;method;cls;nr_events;metric;score
bpic2015_4_f2;all_agg;XGB;1;-1;auc;0.638943894389439
bpic2015_4_f2;all_agg;XGB;2;-1;auc;0.6492220650636492
bpic2015_4_f2;all_agg;XGB;3;-1;auc;0.637906647807638
bpic2015_4_f2;all_agg;XGB;4;-1;auc;0.6492220650636492
bpic2015_4_f2;all_agg;XGB;5;-1;auc;0.6492220650636492
bpic2015_4_f2;all_agg;XGB;6;-1;auc;0.6471004243281471
bpic2015_4_f2;all_agg;XGB;7;-1;auc;0.6230551626591231
bpic2015_4_f2;all_agg;XGB;8;-1;auc;0.6428571428571429
bpic2015_4_f2;all_agg;XGB;9;-1;auc;0.6435643564356436
bpic2015_4_f2;all_agg;XGB;10;-1;auc;0.6507142857142858
bpic2015_4_f2;all_agg;XGB;11;-1;auc;0.6542857142857142
bpic2015_4_f2;all_agg;XGB;12;-1;auc;0.6635714285714287
bpic2015_4_f2;all_agg;XGB;13;-1;auc;0.6585714285714286
bpic2015_4_f2;all_agg;XGB;14;-1;auc;0.6669172932330827
bpic2015_4_f2;all_agg;XGB;15;-1;auc;0.7421052631578947
bpic2015_4_f2;all_agg;XGB;16;-1;auc;0.8161094224924013
bpic2015_4_f2;all_agg;XGB;17;-1;auc;0.8282674772036474
bpic2015_4_f2;all_agg;XGB;18;-1;auc;0.8905279503105591
bpic2015_4_f2;all_agg;XGB;19;-1;auc;0.921583850931677
bpic2015_4_f2;all_agg;XGB;20;-1;auc;0.9293739967897271
bpic2015_4_f2;all_agg;XGB;21;-1;auc;0.946218487394958
bpic2015_4_f2;all_agg;XGB;22;-1;auc;0.9526678141135974
bpic2015_4_f2;all_agg;XGB;23;-1;auc;0.9541446208112874
bpic2015_4_f2;all_agg;XGB;24;-1;auc;0.9556962025316456
bpic2015_4_f2;all_agg;XGB;25;-1;auc;0.9514652014652014
bpic2015_4_f2;all_agg;XGB;26;-1;auc;0.9552380952380952
bpic2015_4_f2;all_agg;XGB;27;-1;auc;0.9552380952380952
bpic2015_4_f2;all_agg;XGB;28;-1;auc;0.9538461538461539
bpic2015_4_f2;all_agg;XGB;29;-1;auc;0.9554794520547945
bpic2015_4_f2;all_agg;XGB;30;-1;auc;0.9583333333333333
bpic2015_4_f2;all_agg;XGB;31;-1;auc;0.9624413145539906
bpic2015_4_f2;all_agg;XGB;32;-1;auc;0.9624413145539905
bpic2015_4_f2;all_agg;XGB;33;-1;auc;0.9624413145539905
bpic2015_4_f2;all_agg;XGB;34;-1;auc;0.9590268886043534
bpic2015_4_f2;all_agg;XGB;35;-1;auc;0.9590268886043534
bpic2015_4_f2;all_agg;XGB;36;-1;auc;0.9577464788732394
bpic2015_4_f2;all_agg;XGB;37;-1;auc;0.9577464788732395
bpic2015_4_f2;all_agg;XGB;38;-1;auc;0.9535211267605633
bpic2015_4_f2;all_agg;XGB;39;-1;auc;0.9557142857142857
bpic2015_4_f2;all_agg;XGB;40;-1;auc;0.9557142857142857
bpic2015_4_f2;all_agg;XGB;-1;auc;0.8345703996149141
