dataset;level;method;cls;nr_events;metric;score
bpic2015_1_f2;25;all_embeddings;LSTM;1;-1;auc;0.6364850427350427
bpic2015_1_f2;25;all_embeddings;LSTM;2;-1;auc;0.6124465811965812
bpic2015_1_f2;25;all_embeddings;LSTM;3;-1;auc;0.6065705128205128
bpic2015_1_f2;25;all_embeddings;LSTM;4;-1;auc;0.5989819004524887
bpic2015_1_f2;25;all_embeddings;LSTM;5;-1;auc;0.6541289592760181
bpic2015_1_f2;25;all_embeddings;LSTM;6;-1;auc;0.5639140271493213
bpic2015_1_f2;25;all_embeddings;LSTM;7;-1;auc;0.6303733031674208
bpic2015_1_f2;25;all_embeddings;LSTM;8;-1;auc;0.5777714932126697
bpic2015_1_f2;25;all_embeddings;LSTM;9;-1;auc;0.63829185520362
bpic2015_1_f2;25;all_embeddings;LSTM;10;-1;auc;0.6370645345516848
bpic2015_1_f2;25;all_embeddings;LSTM;11;-1;auc;0.5893886966551327
bpic2015_1_f2;25;all_embeddings;LSTM;12;-1;auc;0.5632352941176471
bpic2015_1_f2;25;all_embeddings;LSTM;13;-1;auc;0.5861556743909685
bpic2015_1_f2;25;all_embeddings;LSTM;14;-1;auc;0.64549436795995
bpic2015_1_f2;25;all_embeddings;LSTM;15;-1;auc;0.7448849104859334
bpic2015_1_f2;25;all_embeddings;LSTM;16;-1;auc;0.8264382676147382
bpic2015_1_f2;25;all_embeddings;LSTM;17;-1;auc;0.8574660633484162
bpic2015_1_f2;25;all_embeddings;LSTM;18;-1;auc;0.8688037012557832
bpic2015_1_f2;25;all_embeddings;LSTM;19;-1;auc;0.8773395721925134
bpic2015_1_f2;25;all_embeddings;LSTM;20;-1;auc;0.8993382096830373
bpic2015_1_f2;25;all_embeddings;LSTM;21;-1;auc;0.8885405781957507
bpic2015_1_f2;25;all_embeddings;LSTM;22;-1;auc;0.8920236851271334
bpic2015_1_f2;25;all_embeddings;LSTM;23;-1;auc;0.9066527342389412
bpic2015_1_f2;25;all_embeddings;LSTM;24;-1;auc;0.9007314524555904
bpic2015_1_f2;25;all_embeddings;LSTM;25;-1;auc;0.8996865203761756
bpic2015_1_f2;25;all_embeddings;LSTM;26;-1;auc;0.9026162790697675
bpic2015_1_f2;25;all_embeddings;LSTM;27;-1;auc;0.9047619047619049
bpic2015_1_f2;25;all_embeddings;LSTM;28;-1;auc;0.9107680722891567
bpic2015_1_f2;25;all_embeddings;LSTM;29;-1;auc;0.9100150602409638
bpic2015_1_f2;25;all_embeddings;LSTM;30;-1;auc;0.9115210843373495
bpic2015_1_f2;25;all_embeddings;LSTM;31;-1;auc;0.9302591463414634
bpic2015_1_f2;25;all_embeddings;LSTM;32;-1;auc;0.923828125
bpic2015_1_f2;25;all_embeddings;LSTM;33;-1;auc;0.9484708839547549
bpic2015_1_f2;25;all_embeddings;LSTM;34;-1;auc;0.940630797773655
bpic2015_1_f2;25;all_embeddings;LSTM;35;-1;auc;0.9390838206627679
bpic2015_1_f2;25;all_embeddings;LSTM;36;-1;auc;0.9286437246963563
bpic2015_1_f2;25;all_embeddings;LSTM;37;-1;auc;0.9342105263157895
bpic2015_1_f2;25;all_embeddings;LSTM;38;-1;auc;0.9205555555555556
bpic2015_1_f2;25;all_embeddings;LSTM;39;-1;auc;0.9147826086956523
bpic2015_1_f2;25;all_embeddings;LSTM;40;-1;auc;0.8904347826086957
bpic2015_1_f2;25;all_embeddings;LSTM;-1;auc;0.8040461913122029
