dataset;level;method;cls;nr_events;metric;score
bpic2015_2_f2;25;all_embeddings;LSTM;1;-1;auc;0.7438461538461539
bpic2015_2_f2;25;all_embeddings;LSTM;2;-1;auc;0.71648
bpic2015_2_f2;25;all_embeddings;LSTM;3;-1;auc;0.6846399999999999
bpic2015_2_f2;25;all_embeddings;LSTM;4;-1;auc;0.6905600000000001
bpic2015_2_f2;25;all_embeddings;LSTM;5;-1;auc;0.68448
bpic2015_2_f2;25;all_embeddings;LSTM;6;-1;auc;0.65984
bpic2015_2_f2;25;all_embeddings;LSTM;7;-1;auc;0.6534399999999999
bpic2015_2_f2;25;all_embeddings;LSTM;8;-1;auc;0.6948387096774193
bpic2015_2_f2;25;all_embeddings;LSTM;9;-1;auc;0.6861290322580645
bpic2015_2_f2;25;all_embeddings;LSTM;10;-1;auc;0.7053225806451613
bpic2015_2_f2;25;all_embeddings;LSTM;11;-1;auc;0.7050000000000001
bpic2015_2_f2;25;all_embeddings;LSTM;12;-1;auc;0.7062295081967213
bpic2015_2_f2;25;all_embeddings;LSTM;13;-1;auc;0.6953719008264463
bpic2015_2_f2;25;all_embeddings;LSTM;14;-1;auc;0.7229752066115703
bpic2015_2_f2;25;all_embeddings;LSTM;15;-1;auc;0.6953719008264462
bpic2015_2_f2;25;all_embeddings;LSTM;16;-1;auc;0.7834710743801653
bpic2015_2_f2;25;all_embeddings;LSTM;17;-1;auc;0.8090909090909091
bpic2015_2_f2;25;all_embeddings;LSTM;18;-1;auc;0.8125619834710743
bpic2015_2_f2;25;all_embeddings;LSTM;19;-1;auc;0.837
bpic2015_2_f2;25;all_embeddings;LSTM;20;-1;auc;0.8680555555555554
bpic2015_2_f2;25;all_embeddings;LSTM;21;-1;auc;0.8927536231884058
bpic2015_2_f2;25;all_embeddings;LSTM;22;-1;auc;0.917427840701498
bpic2015_2_f2;25;all_embeddings;LSTM;23;-1;auc;0.9251004749725977
bpic2015_2_f2;25;all_embeddings;LSTM;24;-1;auc;0.9345999269272927
bpic2015_2_f2;25;all_embeddings;LSTM;25;-1;auc;0.9324077457069784
bpic2015_2_f2;25;all_embeddings;LSTM;26;-1;auc;0.9395323346729997
bpic2015_2_f2;25;all_embeddings;LSTM;27;-1;auc;0.9367921081476068
bpic2015_2_f2;25;all_embeddings;LSTM;28;-1;auc;0.9367921081476068
bpic2015_2_f2;25;all_embeddings;LSTM;29;-1;auc;0.9371574716843258
bpic2015_2_f2;25;all_embeddings;LSTM;30;-1;auc;0.9459261965655827
bpic2015_2_f2;25;all_embeddings;LSTM;31;-1;auc;0.937522835221045
bpic2015_2_f2;25;all_embeddings;LSTM;32;-1;auc;0.9336772291820191
bpic2015_2_f2;25;all_embeddings;LSTM;33;-1;auc;0.9292557111274871
bpic2015_2_f2;25;all_embeddings;LSTM;34;-1;auc;0.9274134119380987
bpic2015_2_f2;25;all_embeddings;LSTM;35;-1;auc;0.923728813559322
bpic2015_2_f2;25;all_embeddings;LSTM;36;-1;auc;0.9211495946941785
bpic2015_2_f2;25;all_embeddings;LSTM;37;-1;auc;0.9274134119380987
bpic2015_2_f2;25;all_embeddings;LSTM;38;-1;auc;0.9229918938835666
bpic2015_2_f2;25;all_embeddings;LSTM;39;-1;auc;0.9599383667180277
bpic2015_2_f2;25;all_embeddings;LSTM;40;-1;auc;0.9576271186440677
bpic2015_2_f2;25;all_embeddings;LSTM;-1;auc;0.8394726084019829
