dataset;method;cls;nr_events;metric;score
bpic2015_5_f2;all_agg;XGB;1;-1;auc;0.632051282051282
bpic2015_5_f2;all_agg;XGB;2;-1;auc;0.5955710955710957
bpic2015_5_f2;all_agg;XGB;3;-1;auc;0.5921911421911422
bpic2015_5_f2;all_agg;XGB;4;-1;auc;0.5974358974358974
bpic2015_5_f2;all_agg;XGB;5;-1;auc;0.5913752913752914
bpic2015_5_f2;all_agg;XGB;6;-1;auc;0.5968531468531468
bpic2015_5_f2;all_agg;XGB;7;-1;auc;0.592074592074592
bpic2015_5_f2;all_agg;XGB;8;-1;auc;0.5906759906759906
bpic2015_5_f2;all_agg;XGB;9;-1;auc;0.5942890442890443
bpic2015_5_f2;all_agg;XGB;10;-1;auc;0.5904985337243401
bpic2015_5_f2;all_agg;XGB;11;-1;auc;0.5909090909090909
bpic2015_5_f2;all_agg;XGB;12;-1;auc;0.6017825311942959
bpic2015_5_f2;all_agg;XGB;13;-1;auc;0.6386514148103551
bpic2015_5_f2;all_agg;XGB;14;-1;auc;0.70632149307646
bpic2015_5_f2;all_agg;XGB;15;-1;auc;0.7761670761670761
bpic2015_5_f2;all_agg;XGB;16;-1;auc;0.8406633906633907
bpic2015_5_f2;all_agg;XGB;17;-1;auc;0.9064935064935065
bpic2015_5_f2;all_agg;XGB;18;-1;auc;0.9479452054794522
bpic2015_5_f2;all_agg;XGB;19;-1;auc;0.9831880448318804
bpic2015_5_f2;all_agg;XGB;20;-1;auc;0.9921003134796238
bpic2015_5_f2;all_agg;XGB;21;-1;auc;0.9962868117797696
bpic2015_5_f2;all_agg;XGB;22;-1;auc;0.9985815602836879
bpic2015_5_f2;all_agg;XGB;23;-1;auc;0.9988394584139265
bpic2015_5_f2;all_agg;XGB;24;-1;auc;0.9996131528046421
bpic2015_5_f2;all_agg;XGB;25;-1;auc;0.9995985547972701
bpic2015_5_f2;all_agg;XGB;26;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;27;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;28;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;29;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;30;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;31;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;32;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;33;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;34;-1;auc;0.9994570381430705
bpic2015_5_f2;all_agg;XGB;35;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;36;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;37;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;38;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;39;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;40;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;-1;auc;0.9074742740212147
