dataset;method;cls;nr_events;metric;score
bpic2011_f1;all_agg;XGB;1;-1;auc;0.7795852285868475
bpic2011_f1;all_agg;XGB;2;-1;auc;0.786076350388088
bpic2011_f1;all_agg;XGB;3;-1;auc;0.7949927119951985
bpic2011_f1;all_agg;XGB;4;-1;auc;0.7863946800862689
bpic2011_f1;all_agg;XGB;5;-1;auc;0.7871447644478352
bpic2011_f1;all_agg;XGB;6;-1;auc;0.7873831775700934
bpic2011_f1;all_agg;XGB;7;-1;auc;0.7981952420016407
bpic2011_f1;all_agg;XGB;8;-1;auc;0.839937106918239
bpic2011_f1;all_agg;XGB;9;-1;auc;0.867936507936508
bpic2011_f1;all_agg;XGB;10;-1;auc;0.8772486772486772
bpic2011_f1;all_agg;XGB;11;-1;auc;0.891991341991342
bpic2011_f1;all_agg;XGB;12;-1;auc;0.8886363636363637
bpic2011_f1;all_agg;XGB;13;-1;auc;0.8883415435139573
bpic2011_f1;all_agg;XGB;14;-1;auc;0.8947951273532668
bpic2011_f1;all_agg;XGB;15;-1;auc;0.8921373200442968
bpic2011_f1;all_agg;XGB;16;-1;auc;0.8947951273532668
bpic2011_f1;all_agg;XGB;17;-1;auc;0.8966905187835421
bpic2011_f1;all_agg;XGB;18;-1;auc;0.9061940966010733
bpic2011_f1;all_agg;XGB;19;-1;auc;0.9054298642533938
bpic2011_f1;all_agg;XGB;20;-1;auc;0.9043829296424453
bpic2011_f1;all_agg;XGB;21;-1;auc;0.9043529411764706
bpic2011_f1;all_agg;XGB;22;-1;auc;0.9018796992481204
bpic2011_f1;all_agg;XGB;23;-1;auc;0.9091614906832297
bpic2011_f1;all_agg;XGB;24;-1;auc;0.9146602461209202
bpic2011_f1;all_agg;XGB;25;-1;auc;0.909289067739772
bpic2011_f1;all_agg;XGB;26;-1;auc;0.9269047619047619
bpic2011_f1;all_agg;XGB;27;-1;auc;0.9314499376817615
bpic2011_f1;all_agg;XGB;28;-1;auc;0.9324186991869919
bpic2011_f1;all_agg;XGB;29;-1;auc;0.9266975308641975
bpic2011_f1;all_agg;XGB;30;-1;auc;0.9562289562289562
bpic2011_f1;all_agg;XGB;31;-1;auc;0.96125
bpic2011_f1;all_agg;XGB;32;-1;auc;0.961038961038961
bpic2011_f1;all_agg;XGB;33;-1;auc;0.9624819624819624
bpic2011_f1;all_agg;XGB;34;-1;auc;0.9586466165413533
bpic2011_f1;all_agg;XGB;35;-1;auc;0.9868421052631579
bpic2011_f1;all_agg;XGB;36;-1;auc;0.9729729729729729
bpic2011_f1;all_agg;XGB;-1;auc;0.8891801249495068
