dataset;method;cls;nr_events;metric;score
bpic2015_1_f2;all_agg;XGB;1;-1;auc;0.6212606837606838
bpic2015_1_f2;all_agg;XGB;2;-1;auc;0.6068376068376068
bpic2015_1_f2;all_agg;XGB;3;-1;auc;0.5555555555555555
bpic2015_1_f2;all_agg;XGB;4;-1;auc;0.541289592760181
bpic2015_1_f2;all_agg;XGB;5;-1;auc;0.553591628959276
bpic2015_1_f2;all_agg;XGB;6;-1;auc;0.5791855203619909
bpic2015_1_f2;all_agg;XGB;7;-1;auc;0.5606617647058824
bpic2015_1_f2;all_agg;XGB;8;-1;auc;0.6090214932126696
bpic2015_1_f2;all_agg;XGB;9;-1;auc;0.5907805429864253
bpic2015_1_f2;all_agg;XGB;10;-1;auc;0.5870930896630497
bpic2015_1_f2;all_agg;XGB;11;-1;auc;0.558679354094579
bpic2015_1_f2;all_agg;XGB;12;-1;auc;0.4894117647058823
bpic2015_1_f2;all_agg;XGB;13;-1;auc;0.46033868092691627
bpic2015_1_f2;all_agg;XGB;14;-1;auc;0.5366082603254068
bpic2015_1_f2;all_agg;XGB;15;-1;auc;0.5780051150895141
bpic2015_1_f2;all_agg;XGB;16;-1;auc;0.6415643180349063
bpic2015_1_f2;all_agg;XGB;17;-1;auc;0.6444731738849386
bpic2015_1_f2;all_agg;XGB;18;-1;auc;0.7714805023132849
bpic2015_1_f2;all_agg;XGB;19;-1;auc;0.8490975935828877
bpic2015_1_f2;all_agg;XGB;20;-1;auc;0.8948101706722396
bpic2015_1_f2;all_agg;XGB;21;-1;auc;0.9038662486938349
bpic2015_1_f2;all_agg;XGB;22;-1;auc;0.9022988505747127
bpic2015_1_f2;all_agg;XGB;23;-1;auc;0.9181469871125043
bpic2015_1_f2;all_agg;XGB;24;-1;auc;0.9019505398815745
bpic2015_1_f2;all_agg;XGB;25;-1;auc;0.9195402298850576
bpic2015_1_f2;all_agg;XGB;26;-1;auc;0.9358648255813954
bpic2015_1_f2;all_agg;XGB;27;-1;auc;0.9389880952380952
bpic2015_1_f2;all_agg;XGB;28;-1;auc;0.9391942771084337
bpic2015_1_f2;all_agg;XGB;29;-1;auc;0.9405120481927711
bpic2015_1_f2;all_agg;XGB;30;-1;auc;0.9408885542168675
bpic2015_1_f2;all_agg;XGB;31;-1;auc;0.9357850609756098
bpic2015_1_f2;all_agg;XGB;32;-1;auc;0.9527343749999999
bpic2015_1_f2;all_agg;XGB;33;-1;auc;0.9761206535400084
bpic2015_1_f2;all_agg;XGB;34;-1;auc;0.974025974025974
bpic2015_1_f2;all_agg;XGB;35;-1;auc;0.9763645224171539
bpic2015_1_f2;all_agg;XGB;36;-1;auc;0.9754554655870445
bpic2015_1_f2;all_agg;XGB;37;-1;auc;0.9731578947368422
bpic2015_1_f2;all_agg;XGB;38;-1;auc;0.9494444444444444
bpic2015_1_f2;all_agg;XGB;39;-1;auc;0.943768115942029
bpic2015_1_f2;all_agg;XGB;40;-1;auc;0.9431884057971016
bpic2015_1_f2;all_agg;XGB;-1;auc;0.7749716352944881
