dataset;method;cls;nr_events;metric;score
bpic2015_4_f2;all_agg;XGB;1;-1;auc;0.7201320132013203
bpic2015_4_f2;all_agg;XGB;2;-1;auc;0.7256011315417257
bpic2015_4_f2;all_agg;XGB;3;-1;auc;0.6845827439886845
bpic2015_4_f2;all_agg;XGB;4;-1;auc;0.6683168316831682
bpic2015_4_f2;all_agg;XGB;5;-1;auc;0.657001414427157
bpic2015_4_f2;all_agg;XGB;6;-1;auc;0.6605374823196606
bpic2015_4_f2;all_agg;XGB;7;-1;auc;0.6612446958981612
bpic2015_4_f2;all_agg;XGB;8;-1;auc;0.6584158415841583
bpic2015_4_f2;all_agg;XGB;9;-1;auc;0.6672560113154171
bpic2015_4_f2;all_agg;XGB;10;-1;auc;0.6667857142857143
bpic2015_4_f2;all_agg;XGB;11;-1;auc;0.6635714285714286
bpic2015_4_f2;all_agg;XGB;12;-1;auc;0.6442857142857144
bpic2015_4_f2;all_agg;XGB;13;-1;auc;0.6414285714285713
bpic2015_4_f2;all_agg;XGB;14;-1;auc;0.6015037593984963
bpic2015_4_f2;all_agg;XGB;15;-1;auc;0.6218045112781955
bpic2015_4_f2;all_agg;XGB;16;-1;auc;0.6132218844984803
bpic2015_4_f2;all_agg;XGB;17;-1;auc;0.7484802431610943
bpic2015_4_f2;all_agg;XGB;18;-1;auc;0.8229813664596274
bpic2015_4_f2;all_agg;XGB;19;-1;auc;0.7336956521739131
bpic2015_4_f2;all_agg;XGB;20;-1;auc;0.9759229534510434
bpic2015_4_f2;all_agg;XGB;21;-1;auc;0.992436974789916
bpic2015_4_f2;all_agg;XGB;22;-1;auc;0.9862306368330465
bpic2015_4_f2;all_agg;XGB;23;-1;auc;0.9947089947089947
bpic2015_4_f2;all_agg;XGB;24;-1;auc;0.9412296564195299
bpic2015_4_f2;all_agg;XGB;25;-1;auc;0.9427655677655677
bpic2015_4_f2;all_agg;XGB;26;-1;auc;0.9471428571428572
bpic2015_4_f2;all_agg;XGB;27;-1;auc;0.95
bpic2015_4_f2;all_agg;XGB;28;-1;auc;0.9764102564102564
bpic2015_4_f2;all_agg;XGB;29;-1;auc;0.9434931506849313
bpic2015_4_f2;all_agg;XGB;30;-1;auc;0.9461805555555554
bpic2015_4_f2;all_agg;XGB;31;-1;auc;0.9471830985915491
bpic2015_4_f2;all_agg;XGB;32;-1;auc;0.9507042253521126
bpic2015_4_f2;all_agg;XGB;33;-1;auc;0.9518779342723004
bpic2015_4_f2;all_agg;XGB;34;-1;auc;0.9462227912932137
bpic2015_4_f2;all_agg;XGB;35;-1;auc;0.9481434058898848
bpic2015_4_f2;all_agg;XGB;36;-1;auc;0.9487836107554418
bpic2015_4_f2;all_agg;XGB;37;-1;auc;0.9487836107554418
bpic2015_4_f2;all_agg;XGB;38;-1;auc;0.9443661971830986
bpic2015_4_f2;all_agg;XGB;39;-1;auc;0.9428571428571428
bpic2015_4_f2;all_agg;XGB;40;-1;auc;0.9442857142857143
bpic2015_4_f2;all_agg;XGB;-1;auc;0.8441012197330012
