dataset;level;method;cls;nr_events;metric;score
bpic2015_4_f2;25;all_embeddings;LSTM;1;-1;auc;0.7782178217821782
bpic2015_4_f2;25;all_embeddings;LSTM;2;-1;auc;0.7786421499292786
bpic2015_4_f2;25;all_embeddings;LSTM;3;-1;auc;0.7772277227722773
bpic2015_4_f2;25;all_embeddings;LSTM;4;-1;auc;0.772984441301273
bpic2015_4_f2;25;all_embeddings;LSTM;5;-1;auc;0.7715700141442716
bpic2015_4_f2;25;all_embeddings;LSTM;6;-1;auc;0.775106082036775
bpic2015_4_f2;25;all_embeddings;LSTM;7;-1;auc;0.7743988684582744
bpic2015_4_f2;25;all_embeddings;LSTM;8;-1;auc;0.7701555869872702
bpic2015_4_f2;25;all_embeddings;LSTM;9;-1;auc;0.7673267326732673
bpic2015_4_f2;25;all_embeddings;LSTM;10;-1;auc;0.7671428571428571
bpic2015_4_f2;25;all_embeddings;LSTM;11;-1;auc;0.7664285714285715
bpic2015_4_f2;25;all_embeddings;LSTM;12;-1;auc;0.7664285714285715
bpic2015_4_f2;25;all_embeddings;LSTM;13;-1;auc;0.765
bpic2015_4_f2;25;all_embeddings;LSTM;14;-1;auc;0.7721804511278195
bpic2015_4_f2;25;all_embeddings;LSTM;15;-1;auc;0.7879699248120301
bpic2015_4_f2;25;all_embeddings;LSTM;16;-1;auc;0.7895136778115501
bpic2015_4_f2;25;all_embeddings;LSTM;17;-1;auc;0.7933130699088146
bpic2015_4_f2;25;all_embeddings;LSTM;18;-1;auc;0.7903726708074534
bpic2015_4_f2;25;all_embeddings;LSTM;19;-1;auc;0.7888198757763976
bpic2015_4_f2;25;all_embeddings;LSTM;20;-1;auc;0.7945425361155698
bpic2015_4_f2;25;all_embeddings;LSTM;21;-1;auc;0.8016806722689075
bpic2015_4_f2;25;all_embeddings;LSTM;22;-1;auc;0.8098106712564543
bpic2015_4_f2;25;all_embeddings;LSTM;23;-1;auc;0.8165784832451499
bpic2015_4_f2;25;all_embeddings;LSTM;24;-1;auc;0.8200723327305607
bpic2015_4_f2;25;all_embeddings;LSTM;25;-1;auc;0.8177655677655677
bpic2015_4_f2;25;all_embeddings;LSTM;26;-1;auc;0.8228571428571428
bpic2015_4_f2;25;all_embeddings;LSTM;27;-1;auc;0.8152380952380951
bpic2015_4_f2;25;all_embeddings;LSTM;28;-1;auc;0.8061538461538462
bpic2015_4_f2;25;all_embeddings;LSTM;29;-1;auc;0.8276255707762558
bpic2015_4_f2;25;all_embeddings;LSTM;30;-1;auc;0.8240740740740741
bpic2015_4_f2;25;all_embeddings;LSTM;31;-1;auc;0.8145539906103286
bpic2015_4_f2;25;all_embeddings;LSTM;32;-1;auc;0.8133802816901409
bpic2015_4_f2;25;all_embeddings;LSTM;33;-1;auc;0.8133802816901409
bpic2015_4_f2;25;all_embeddings;LSTM;34;-1;auc;0.8040973111395646
bpic2015_4_f2;25;all_embeddings;LSTM;35;-1;auc;0.8053777208706786
bpic2015_4_f2;25;all_embeddings;LSTM;36;-1;auc;0.8143405889884763
bpic2015_4_f2;25;all_embeddings;LSTM;37;-1;auc;0.8194622279129321
bpic2015_4_f2;25;all_embeddings;LSTM;38;-1;auc;0.8084507042253521
bpic2015_4_f2;25;all_embeddings;LSTM;39;-1;auc;0.81
bpic2015_4_f2;25;all_embeddings;LSTM;40;-1;auc;0.8085714285714286
bpic2015_4_f2;25;all_embeddings;LSTM;-1;auc;0.784890126875196
