dataset;method;cls;nr_events;metric;score
bpic2015_5_f2;all_agg;XGB;1;-1;auc;0.653962703962704
bpic2015_5_f2;all_agg;XGB;2;-1;auc;0.6448717948717949
bpic2015_5_f2;all_agg;XGB;3;-1;auc;0.6346153846153846
bpic2015_5_f2;all_agg;XGB;4;-1;auc;0.6417249417249418
bpic2015_5_f2;all_agg;XGB;5;-1;auc;0.6372960372960372
bpic2015_5_f2;all_agg;XGB;6;-1;auc;0.6347319347319347
bpic2015_5_f2;all_agg;XGB;7;-1;auc;0.6389277389277389
bpic2015_5_f2;all_agg;XGB;8;-1;auc;0.6407925407925408
bpic2015_5_f2;all_agg;XGB;9;-1;auc;0.6424242424242423
bpic2015_5_f2;all_agg;XGB;10;-1;auc;0.6451612903225806
bpic2015_5_f2;all_agg;XGB;11;-1;auc;0.6412042502951594
bpic2015_5_f2;all_agg;XGB;12;-1;auc;0.6477718360071301
bpic2015_5_f2;all_agg;XGB;13;-1;auc;0.6854906682721251
bpic2015_5_f2;all_agg;XGB;14;-1;auc;0.7306441902468392
bpic2015_5_f2;all_agg;XGB;15;-1;auc;0.7737100737100737
bpic2015_5_f2;all_agg;XGB;16;-1;auc;0.793980343980344
bpic2015_5_f2;all_agg;XGB;17;-1;auc;0.8258503401360544
bpic2015_5_f2;all_agg;XGB;18;-1;auc;0.8460772104607721
bpic2015_5_f2;all_agg;XGB;19;-1;auc;0.8729763387297634
bpic2015_5_f2;all_agg;XGB;20;-1;auc;0.8961755485893417
bpic2015_5_f2;all_agg;XGB;21;-1;auc;0.9156209987195902
bpic2015_5_f2;all_agg;XGB;22;-1;auc;0.9404255319148936
bpic2015_5_f2;all_agg;XGB;23;-1;auc;0.943391360412637
bpic2015_5_f2;all_agg;XGB;24;-1;auc;0.9464861379754997
bpic2015_5_f2;all_agg;XGB;25;-1;auc;0.9460725277666265
bpic2015_5_f2;all_agg;XGB;26;-1;auc;0.9490164592533119
bpic2015_5_f2;all_agg;XGB;27;-1;auc;0.955256064690027
bpic2015_5_f2;all_agg;XGB;28;-1;auc;0.9574123989218329
bpic2015_5_f2;all_agg;XGB;29;-1;auc;0.957277628032345
bpic2015_5_f2;all_agg;XGB;30;-1;auc;0.9574123989218328
bpic2015_5_f2;all_agg;XGB;31;-1;auc;0.9571428571428572
bpic2015_5_f2;all_agg;XGB;32;-1;auc;0.9581919370164246
bpic2015_5_f2;all_agg;XGB;33;-1;auc;0.9604995249083752
bpic2015_5_f2;all_agg;XGB;34;-1;auc;0.9619926700149314
bpic2015_5_f2;all_agg;XGB;35;-1;auc;0.9721143174250833
bpic2015_5_f2;all_agg;XGB;36;-1;auc;0.9743340732519423
bpic2015_5_f2;all_agg;XGB;37;-1;auc;0.9747030048916842
bpic2015_5_f2;all_agg;XGB;38;-1;auc;0.9740041928721175
bpic2015_5_f2;all_agg;XGB;39;-1;auc;0.9748427672955975
bpic2015_5_f2;all_agg;XGB;40;-1;auc;0.9778444825614636
bpic2015_5_f2;all_agg;XGB;-1;auc;0.8377467763682962
