dataset;method;cls;nr_events;metric;score
bpic2011_f2;all_agg;XGB;1;-1;auc;0.8408445858776984
bpic2011_f2;all_agg;XGB;2;-1;auc;0.8488744588744589
bpic2011_f2;all_agg;XGB;3;-1;auc;0.8411623837155752
bpic2011_f2;all_agg;XGB;4;-1;auc;0.8384740259740261
bpic2011_f2;all_agg;XGB;5;-1;auc;0.8351148851148852
bpic2011_f2;all_agg;XGB;6;-1;auc;0.8331749551261747
bpic2011_f2;all_agg;XGB;7;-1;auc;0.836289726533629
bpic2011_f2;all_agg;XGB;8;-1;auc;0.8831168831168831
bpic2011_f2;all_agg;XGB;9;-1;auc;0.9132768058387895
bpic2011_f2;all_agg;XGB;10;-1;auc;0.9365675646667383
bpic2011_f2;all_agg;XGB;11;-1;auc;0.946235967422408
bpic2011_f2;all_agg;XGB;12;-1;auc;0.9493176315210213
bpic2011_f2;all_agg;XGB;13;-1;auc;0.9564879564879565
bpic2011_f2;all_agg;XGB;14;-1;auc;0.9647799455535391
bpic2011_f2;all_agg;XGB;15;-1;auc;0.9648933756805808
bpic2011_f2;all_agg;XGB;16;-1;auc;0.9671619782214156
bpic2011_f2;all_agg;XGB;17;-1;auc;0.9668216878402904
bpic2011_f2;all_agg;XGB;18;-1;auc;0.965233666061706
bpic2011_f2;all_agg;XGB;19;-1;auc;0.9729977116704805
bpic2011_f2;all_agg;XGB;20;-1;auc;0.9739130434782608
bpic2011_f2;all_agg;XGB;21;-1;auc;0.9741990846681923
bpic2011_f2;all_agg;XGB;22;-1;auc;0.9744344413665744
bpic2011_f2;all_agg;XGB;23;-1;auc;0.9757617728531857
bpic2011_f2;all_agg;XGB;24;-1;auc;0.9767836257309941
bpic2011_f2;all_agg;XGB;25;-1;auc;0.977485380116959
bpic2011_f2;all_agg;XGB;26;-1;auc;0.9772514619883041
bpic2011_f2;all_agg;XGB;27;-1;auc;0.9789208456243854
bpic2011_f2;all_agg;XGB;28;-1;auc;0.9714781746031746
bpic2011_f2;all_agg;XGB;29;-1;auc;0.9726010101010102
bpic2011_f2;all_agg;XGB;30;-1;auc;0.971780303030303
bpic2011_f2;all_agg;XGB;31;-1;auc;0.9706156096263794
bpic2011_f2;all_agg;XGB;32;-1;auc;0.9654088050314465
bpic2011_f2;all_agg;XGB;33;-1;auc;0.964908519153802
bpic2011_f2;all_agg;XGB;34;-1;auc;0.9587545787545788
bpic2011_f2;all_agg;XGB;35;-1;auc;0.9718820861678005
bpic2011_f2;all_agg;XGB;36;-1;auc;0.9700125274036955
bpic2011_f2;all_agg;XGB;37;-1;auc;0.9674615002483855
bpic2011_f2;all_agg;XGB;38;-1;auc;0.9672967547674807
bpic2011_f2;all_agg;XGB;39;-1;auc;0.9702868852459017
bpic2011_f2;all_agg;XGB;40;-1;auc;0.9702868852459017
bpic2011_f2;all_agg;XGB;-1;auc;0.9424349224863201
