dataset;level;method;cls;nr_events;metric;score
bpic2015_4_f2;00;all_embeddings;LSTM;1;-1;auc;0.5663366336633664
bpic2015_4_f2;00;all_embeddings;LSTM;2;-1;auc;0.4306930693069307
bpic2015_4_f2;00;all_embeddings;LSTM;3;-1;auc;0.43988684582743987
bpic2015_4_f2;00;all_embeddings;LSTM;4;-1;auc;0.4992927864214993
bpic2015_4_f2;00;all_embeddings;LSTM;5;-1;auc;0.458981612446959
bpic2015_4_f2;00;all_embeddings;LSTM;6;-1;auc;0.4314002828854314
bpic2015_4_f2;00;all_embeddings;LSTM;7;-1;auc;0.45049504950495045
bpic2015_4_f2;00;all_embeddings;LSTM;8;-1;auc;0.4688826025459689
bpic2015_4_f2;00;all_embeddings;LSTM;9;-1;auc;0.5134370579915134
bpic2015_4_f2;00;all_embeddings;LSTM;10;-1;auc;0.45357142857142857
bpic2015_4_f2;00;all_embeddings;LSTM;11;-1;auc;0.4621428571428571
bpic2015_4_f2;00;all_embeddings;LSTM;12;-1;auc;0.47285714285714286
bpic2015_4_f2;00;all_embeddings;LSTM;13;-1;auc;0.5114285714285715
bpic2015_4_f2;00;all_embeddings;LSTM;14;-1;auc;0.7026315789473685
bpic2015_4_f2;00;all_embeddings;LSTM;15;-1;auc;0.8447368421052631
bpic2015_4_f2;00;all_embeddings;LSTM;16;-1;auc;0.89209726443769
bpic2015_4_f2;00;all_embeddings;LSTM;17;-1;auc;0.9240121580547113
bpic2015_4_f2;00;all_embeddings;LSTM;18;-1;auc;0.9200310559006212
bpic2015_4_f2;00;all_embeddings;LSTM;19;-1;auc;0.9739906832298136
bpic2015_4_f2;00;all_embeddings;LSTM;20;-1;auc;0.9574638844301765
bpic2015_4_f2;00;all_embeddings;LSTM;21;-1;auc;0.9806722689075631
bpic2015_4_f2;00;all_embeddings;LSTM;22;-1;auc;0.9767641996557659
bpic2015_4_f2;00;all_embeddings;LSTM;23;-1;auc;0.9797178130511464
bpic2015_4_f2;00;all_embeddings;LSTM;24;-1;auc;0.9792043399638337
bpic2015_4_f2;00;all_embeddings;LSTM;25;-1;auc;0.9752747252747253
bpic2015_4_f2;00;all_embeddings;LSTM;26;-1;auc;0.96
bpic2015_4_f2;00;all_embeddings;LSTM;27;-1;auc;0.9304761904761906
bpic2015_4_f2;00;all_embeddings;LSTM;28;-1;auc;0.9958974358974358
bpic2015_4_f2;00;all_embeddings;LSTM;29;-1;auc;0.9971461187214612
bpic2015_4_f2;00;all_embeddings;LSTM;30;-1;auc;0.9988425925925927
bpic2015_4_f2;00;all_embeddings;LSTM;31;-1;auc;0.9976525821596245
bpic2015_4_f2;00;all_embeddings;LSTM;32;-1;auc;0.9976525821596245
bpic2015_4_f2;00;all_embeddings;LSTM;33;-1;auc;0.9976525821596245
bpic2015_4_f2;00;all_embeddings;LSTM;34;-1;auc;0.9974391805377721
bpic2015_4_f2;00;all_embeddings;LSTM;35;-1;auc;0.9961587708066582
bpic2015_4_f2;00;all_embeddings;LSTM;36;-1;auc;0.9961587708066582
bpic2015_4_f2;00;all_embeddings;LSTM;37;-1;auc;0.9974391805377721
bpic2015_4_f2;00;all_embeddings;LSTM;38;-1;auc;1.0
bpic2015_4_f2;00;all_embeddings;LSTM;39;-1;auc;0.9928571428571429
bpic2015_4_f2;00;all_embeddings;LSTM;40;-1;auc;0.9635714285714286
bpic2015_4_f2;00;all_embeddings;LSTM;-1;auc;0.8587437015054561
